OBJECTID *;ESTADO_SUPERFICIAL;FECHA_ESTADO;CalCodigo *
242;SATISFACTORIO;31/12/2024;91014356
243;SATISFACTORIO;31/12/2024;174714
244;SATISFACTORIO;31/12/2024;443897
245;BUENO;31/12/2024;363635
246;JUSTO;31/12/2024;155764
247;BUENO;31/12/2024;204600
248;GRAVE;31/12/2024;91012044
249;SATISFACTORIO;31/12/2024;367996
250;SATISFACTORIO;31/12/2024;173575
251;SATISFACTORIO;31/12/2024;91021674
252;BUENO;31/12/2024;417319
253;JUSTO;31/12/2024;363452
254;SATISFACTORIO;31/12/2024;415024
255;GRAVE;31/12/2024;176534
256;BUENO;31/12/2024;415639
257;BUENO;31/12/2024;170938
258;SATISFACTORIO;31/12/2024;91018672
259;SATISFACTORIO;31/12/2024;175510
260;SATISFACTORIO;31/12/2024;366978
261;SATISFACTORIO;31/12/2024;520124
262;BUENO;31/12/2024;298347
263;BUENO;31/12/2024;154395
264;SATISFACTORIO;31/12/2024;152278
265;BUENO;31/12/2024;451807
266;BUENO;31/12/2024;472902
267;SATISFACTORIO;31/12/2024;413458
268;SATISFACTORIO;31/12/2024;471337
269;GRAVE;31/12/2024;478472
270;GRAVE;31/12/2024;364728
271;SATISFACTORIO;31/12/2024;157291
272;JUSTO;31/12/2024;350489
273;BUENO;31/12/2024;422919
274;BUENO;31/12/2024;443406
275;BUENO;31/12/2024;356404
276;SATISFACTORIO;31/12/2024;157416
277;SATISFACTORIO;31/12/2024;174695
278;GRAVE;31/12/2024;171980
279;BUENO;31/12/2024;441449
280;SATISFACTORIO;31/12/2024;480393
281;BUENO;31/12/2024;291057
282;SATISFACTORIO;31/12/2024;441885
283;SATISFACTORIO;31/12/2024;187871
284;SATISFACTORIO;31/12/2024;321889
285;SATISFACTORIO;31/12/2024;414286
286;SATISFACTORIO;31/12/2024;91018380
287;BUENO;31/12/2024;441564
288;GRAVE;31/12/2024;91015046
289;BUENO;31/12/2024;420061
290;BUENO;31/12/2024;174883
291;SATISFACTORIO;31/12/2024;357414
292;GRAVE;31/12/2024;91019557
293;SATISFACTORIO;31/12/2024;152926
294;BUENO;31/12/2024;442115
295;BUENO;31/12/2024;206196
296;JUSTO;31/12/2024;177353
297;SATISFACTORIO;31/12/2024;418153
298;BUENO;31/12/2024;365244
299;SATISFACTORIO;31/12/2024;174130
300;JUSTO;31/12/2024;350756
301;SATISFACTORIO;31/12/2024;802813
302;8;31/12/2024;294699
303;SATISFACTORIO;31/12/2024;148744
304;BUENO;31/12/2024;91022102
305;BUENO;31/12/2024;153304
306;SATISFACTORIO;31/12/2024;350882
307;GRAVE;31/12/2024;295122
308;BUENO;31/12/2024;172333
309;BUENO;31/12/2024;91010765
310;SATISFACTORIO;31/12/2024;155218
311;SATISFACTORIO;31/12/2024;188634
312;SATISFACTORIO;31/12/2024;357870
313;GRAVE;31/12/2024;809491
314;BUENO;31/12/2024;383389
315;BUENO;31/12/2024;415352
316;BUENO;31/12/2024;299289
317;SATISFACTORIO;31/12/2024;175219
318;BUENO;31/12/2024;321383
319;BUENO;31/12/2024;206325
320;SATISFACTORIO;31/12/2024;151048
321;SATISFACTORIO;31/12/2024;157558
322;BUENO;31/12/2024;153448
323;SATISFACTORIO;31/12/2024;157337
324;JUSTO;31/12/2024;801078
325;BUENO;31/12/2024;488669
326;SATISFACTORIO;31/12/2024;156135
327;SATISFACTORIO;31/12/2024;382699
328;SATISFACTORIO;31/12/2024;525825
329;BUENO;31/12/2024;183959
330;BUENO;31/12/2024;91016224
331;SATISFACTORIO;31/12/2024;442930
332;GRAVE;31/12/2024;814151
333;SATISFACTORIO;31/12/2024;147882
334;BUENO;31/12/2024;382766
335;BUENO;31/12/2024;149929
336;BUENO;31/12/2024;458197
337;SATISFACTORIO;31/12/2024;146127
338;JUSTO;31/12/2024;457448
339;BUENO;31/12/2024;155617
340;SATISFACTORIO;31/12/2024;167986
341;JUSTO;31/12/2024;175398
342;BUENO;31/12/2024;471642
343;SATISFACTORIO;31/12/2024;184529
344;SATISFACTORIO;31/12/2024;187567
345;SATISFACTORIO;31/12/2024;158599
346;SATISFACTORIO;31/12/2024;156535
347;SATISFACTORIO;31/12/2024;165682
348;JUSTO;31/12/2024;418740
349;JUSTO;31/12/2024;356290
350;GRAVE;31/12/2024;152457
351;BUENO;31/12/2024;363414
352;BUENO;31/12/2024;457415
353;BUENO;31/12/2024;203380
354;GRAVE;31/12/2024;303785
355;SATISFACTORIO;31/12/2024;146265
356;BUENO;31/12/2024;172471
357;GRAVE;31/12/2024;304955
358;SATISFACTORIO;31/12/2024;384378
359;SATISFACTORIO;31/12/2024;478182
360;BUENO;31/12/2024;153641
361;SATISFACTORIO;31/12/2024;471842
362;SATISFACTORIO;31/12/2024;181535
363;SATISFACTORIO;31/12/2024;91014127
364;BUENO;31/12/2024;149760
365;SATISFACTORIO;31/12/2024;440400
366;BUENO;31/12/2024;324351
367;BUENO;31/12/2024;153189
368;BUENO;31/12/2024;91022126
369;BUENO;31/12/2024;91012589
370;BUENO;31/12/2024;207621
371;SATISFACTORIO;31/12/2024;175275
372;SATISFACTORIO;31/12/2024;472368
373;BUENO;31/12/2024;174179
374;SATISFACTORIO;31/12/2024;165242
375;SATISFACTORIO;31/12/2024;292141
376;BUENO;31/12/2024;151999
377;GRAVE;31/12/2024;174032
378;GRAVE;31/12/2024;449307
379;SATISFACTORIO;31/12/2024;91019857
380;SATISFACTORIO;31/12/2024;173920
381;BUENO;31/12/2024;154386
382;BUENO;31/12/2024;415331
383;BUENO;31/12/2024;819401
384;SATISFACTORIO;31/12/2024;368495
385;BUENO;31/12/2024;204114
386;GRAVE;31/12/2024;463282
387;SATISFACTORIO;31/12/2024;600511
388;JUSTO;31/12/2024;361144
389;BUENO;31/12/2024;146983
390;SATISFACTORIO;31/12/2024;146472
391;JUSTO;31/12/2024;357903
392;BUENO;31/12/2024;206409
393;SATISFACTORIO;31/12/2024;903528
394;SATISFACTORIO;31/12/2024;364183
395;SATISFACTORIO;31/12/2024;385601
396;BUENO;31/12/2024;210310
397;SATISFACTORIO;31/12/2024;357045
398;SATISFACTORIO;31/12/2024;387091
399;BUENO;31/12/2024;818419
400;BUENO;31/12/2024;362955
401;GRAVE;31/12/2024;417747
402;SATISFACTORIO;31/12/2024;178748
403;BUENO;31/12/2024;322697
404;GRAVE;31/12/2024;91014594
405;SATISFACTORIO;31/12/2024;182578
406;BUENO;31/12/2024;209453
407;BUENO;31/12/2024;177584
408;JUSTO;31/12/2024;152551
409;SATISFACTORIO;31/12/2024;411934
410;JUSTO;31/12/2024;154933
411;SATISFACTORIO;31/12/2024;356356
412;SATISFACTORIO;31/12/2024;388040
413;BUENO;31/12/2024;24121020
414;SATISFACTORIO;31/12/2024;463135
415;GRAVE;31/12/2024;380236
416;SATISFACTORIO;31/12/2024;24120287
417;SATISFACTORIO;31/12/2024;139269
418;SATISFACTORIO;31/12/2024;355799
419;SATISFACTORIO;31/12/2024;153065
420;GRAVE;31/12/2024;177350
421;SATISFACTORIO;31/12/2024;443983
422;SATISFACTORIO;31/12/2024;152878
423;BUENO;31/12/2024;153395
424;SATISFACTORIO;31/12/2024;185333
425;SATISFACTORIO;31/12/2024;367185
426;POBRE;31/12/2024;91014233
427;BUENO;31/12/2024;456747
428;SATISFACTORIO;31/12/2024;178133
429;BUENO;31/12/2024;292897
430;JUSTO;31/12/2024;531617
431;BUENO;31/12/2024;91016907
432;SATISFACTORIO;31/12/2024;91019513
433;SATISFACTORIO;31/12/2024;175987
434;SATISFACTORIO;31/12/2024;306074
435;BUENO;31/12/2024;462069
436;GRAVE;31/12/2024;301029
